Date,SP
2010-01-04,30.082413678040407
2010-01-05,30.22067372813116
2010-01-06,30.245340579313847
2010-01-07,30.40786112136944
2010-01-08,30.517966912930127
2010-01-11,30.541082896882298
2010-01-12,30.27015823537258
2010-01-13,30.488436592679708
2010-01-14,30.55108971073633
2010-01-15,30.236281678291945
2010-01-19,30.59880146498
2010-01-20,30.257042566373983
2010-01-21,29.639739765459748
2010-01-22,29.000431926353187
2010-01-25,29.13989278489441
2010-01-26,28.997389693706392
2010-01-27,29.076294136825005
2010-01-28,28.777200670547682
2010-01-29,28.57141556353175
2010-02-01,29.043760240194963
2010-02-02,29.442546554694058
2010-02-03,29.28004240327587
2010-02-04,28.343092877670458
2010-02-05,28.37026840859762
2010-02-08,28.110729307847393
2010-02-09,28.490745265498468
2010-02-10,28.463967645635357
2010-02-11,28.746465945238295
2010-02-12,28.666260174213377
2010-02-16,29.213970468497802
2010-02-17,29.3078970311743
2010-02-18,29.515302262038958
2010-02-19,29.54928742851157
2010-02-22,29.46260716868601
2010-02-23,29.12114845655887
2010-02-24,29.382924573635343
2010-02-25,29.306308409962995
2010-02-26,29.374813676138068
2010-03-01,29.615672972899482
2010-03-02,29.733660766150685
2010-03-03,29.7390945271126
2010-03-04,29.833875379702977
2010-03-05,30.227665507384067
2010-03-08,30.218593152966324
2010-03-09,30.24803568044423
2010-03-10,30.390617598972405
2010-03-11,30.5199575259371
2010-03-12,30.566270933522585
2010-03-15,30.562527154381634
2010-03-16,30.83128773418516
2010-03-17,30.982151742995732
2010-03-18,30.97414589041337
2010-03-19,30.82330248207638
2010-03-22,30.92655107238787
2010-03-23,31.112409567587655
2010-03-24,30.95072820513362
2010-03-25,30.891822004966418
2010-03-26,30.904065983680567
2010-03-29,31.107819437291383
2010-03-30,31.09003853329231
2010-03-31,30.78210603688828
2010-04-01,31.013760687186107
2010-04-05,31.277330618575803
2010-04-06,31.322884522355604
2010-04-07,31.163534431321974
2010-04-08,31.28371935213016
2010-04-09,31.465609051207444
2010-04-12,31.5050750853668
2010-04-13,31.54495803167942
2010-04-14,31.92312606596408
2010-04-15,31.95053361762497
2010-04-16,31.300153530603612
2010-04-19,31.451626817433773
2010-04-20,31.66272818036062
2010-04-21,31.62994459443556
2010-04-22,31.676901429651643
2010-04-23,31.919577128884303
2010-04-26,31.78971247274149
2010-04-27,31.087466937279217
2010-04-28,31.364831556498544
2010-04-29,31.786588031471222
2010-04-30,31.328879400142586
2010-05-03,31.75214204137323
2010-05-04,31.010279930791267
2010-05-05,30.753124191833077
2010-05-06,29.74743414593139
2010-05-07,29.310696781230963
2010-05-10,30.61755564865974
2010-05-11,30.475028120150135
2010-05-12,30.938150144415843
2010-05-13,30.549548395931115
2010-05-14,29.984833606453776
2010-05-17,29.956799817658272
2010-05-18,29.53555573014658
2010-05-19,29.381504480697604
2010-05-20,28.237273202878647
2010-05-21,28.68913388480338
2010-05-24,28.26724825585963
2010-05-25,28.312137955220336
